community,unit_price,hourseSize,fitment,总价
金城华庭,79552.0,89.25,精装,710.0
洪湖东岸,54736.0,74.54,精装,408.0
供电南苑,67649.0,125.65,简装,850.01
翡翠公寓,60627.0,59.38,精装,360.0
都市名园,48259.0,76.67,简装,370.0
晒布路73号大院,47426.0,73.8,简装,350.0
文华花园,40893.0,85.59,精装,350.0
凤凰印象,70805.0,43.5,精装,308.0
金源大厦,39346.0,78.79,简装,310.01
华隆园,63489.0,41.74,简装,265.0
中海天钻,89571.0,100.48,精装,900.01
靖轩豪苑,58957.0,88.2,简装,520.0
置地逸轩,53090.0,47.09,其他,250.0
东门168,83527.0,21.55,其他,180.0
缤纷时代家园,76616.0,57.43,毛坯,440.01
东港中心,46384.0,68.99,精装,320.0
金泰名苑,50906.0,133.58,精装,680.0
华丽花园,54367.0,88.29,精装,480.01
祥和花园,48512.0,86.99,精装,422.01
华丽花园,54238.0,88.5,精装,480.01
惠名花园,44796.0,46.88,简装,210.0
东乐花园,35681.0,126.12,简装,450.01
雍翠豪园,60158.0,129.66,精装,780.01
南塘物业小区,38868.0,66.38,简装,258.01
绿景山庄,42242.0,93.51,精装,395.0
仙湖枫景家园,49916.0,65.11,精装,325.0
丰湖花园,45112.0,84.68,简装,382.01
鸣翠谷,66078.0,148.31,精装,980.0
龙园山庄,37084.0,110.56,精装,410.0
玉雅居,52876.0,45.39,简装,240.0
锦秀新村,51302.0,65.3,精装,335.0
东湖医院住宅楼,45248.0,72.49,简装,328.0
今日家园,60006.0,76.66,简装,460.01
仙桐御景,53965.0,72.27,精装,390.01
联城美园,61602.0,34.09,精装,210.0
罗湖大厦,44124.0,46.46,精装,205.0
东门168,80339.0,23.65,其他,190.0
耀华楼,38182.0,86.43,简装,330.01
泊林花园,55716.0,45.05,简装,251.0
京基东方都会,51071.0,60.7,简装,310.0
宝泉庄,47449.0,196.0,精装,930.0
雅仕居,49882.0,33.68,精装,168.0
金城华庭,79810.0,35.71,精装,285.0
紫荆花园,37697.0,99.48,简装,375.01
四季御园,57164.0,83.97,简装,480.01
峰度天下,61493.0,86.19,简装,530.01
鹏兴花园五期,55450.0,104.6,简装,580.01
金鼎大厦,47957.0,71.94,精装,345.0
鹏兴花园三期,68266.0,114.26,精装,780.01
万科俊园,45213.0,188.0,精装,850.0
合正星园,103260.0,111.37,精装,1150.01
新世界鹿茵翠地,51571.0,106.65,精装,550.0
翠盈嘉园,55958.0,103.65,精装,580.0
鹏瑞仙桐雅轩罗湖区,51657.0,65.82,精装,340.01
华清园,42379.0,74.33,精装,315.0
怡泰大厦,22161.0,36.1,精装,80.0
京基一百大厦,69096.0,31.84,精装,220.0
旭飞华达园,49192.0,56.92,简装,280.0
新港鸿花园,55119.0,101.6,精装,560.01
金迪名苑,86076.0,39.5,简装,340.0
华丽东村,52479.0,85.75,精装,450.01
