电影名,链接
不期而遇的姐妹,https://www.themoviedb.org/movie/1632181-socias-por-accidente
奇幻变身大冒险,https://www.themoviedb.org/movie/1007757-swapped
肖申克的救赎,https://www.themoviedb.org/movie/278-the-shawshank-redemption
迈克尔·杰克逊：巨星之路,https://www.themoviedb.org/movie/936075-michael
教父,https://www.themoviedb.org/movie/238-the-godfather
挽救计划,https://www.themoviedb.org/movie/687163-project-hail-mary
教父2,https://www.themoviedb.org/movie/240-the-godfather-part-ii
辛德勒的名单,https://www.themoviedb.org/movie/424-schindler-s-list
十二怒汉,https://www.themoviedb.org/movie/389-12-angry-men
幸运有八只触手,https://www.themoviedb.org/movie/1330021-remarkably-bright-creatures
保护者,https://www.themoviedb.org/movie/1383731-protector
千与千寻,https://www.themoviedb.org/movie/129
蝙蝠侠：黑暗骑士,https://www.themoviedb.org/movie/155-the-dark-knight
勇夺芳心,https://www.themoviedb.org/movie/19404
绿里奇迹,https://www.themoviedb.org/movie/497-the-green-mile
要不要做我儿子？,https://www.themoviedb.org/movie/1181678-quieres-ser-mi-hijo
指环王3：王者无敌,https://www.themoviedb.org/movie/122-the-lord-of-the-rings-the-return-of-the-king
寄生虫,https://www.themoviedb.org/movie/496243
你的名字。,https://www.themoviedb.org/movie/372058
星际穿越,https://www.themoviedb.org/movie/157336-interstellar
